Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;4;Meses Epoca Media;5.87;134.23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;5;Meses Epoca Baja;5.18;74.46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;6;Meses Epoca Baja;5.18;74.46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;7;Meses Epoca Baja;5.18;74.46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;8;Meses Epoca Alta;8.035;133.965
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;9;Meses Epoca Alta;8.035;133.965
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;10;Meses Epoca Media;5.87;134.23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;11;Meses Epoca Media;5.87;134.23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;MA;12;Meses Epoca Alta;8.035;133.965
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;1;Meses Epoca Baja;4.39;31.66
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;2;Meses Epoca Media;3.245;59.715
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;3;Meses Epoca Media;3.245;59.715
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;4;Meses Epoca Media;3.245;59.715
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;8;Meses Epoca Alta;5.905;74.79
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;10;Meses Epoca Media;3.245;59.715
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;11;Meses Epoca Alta;5.905;74.79
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;PM;12;Meses Epoca Alta;5.905;74.79
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;1;Meses Epoca Baja;6.625;32.9
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;2;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;3;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;4;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;5;Meses Epoca Baja;6.625;32.9
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;6;Meses Epoca Baja;6.625;32.9
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;7;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;8;Meses Epoca Alta;8.415;29.24
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;9;Meses Epoca Alta;8.415;29.24
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;10;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;11;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Cartagena del Chairá;UEP;12;Meses Epoca Media;4.55;69.2
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;IM;6;No patrón;52.4;52.4
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;1;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;2;Meses Epoca Alta;24.25;182.355
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;3;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;4;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;5;Meses Epoca Baja;16.215;106.285
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;6;Meses Epoca Alta;24.25;182.355
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;7;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;8;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;9;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;10;Meses Epoca Media;16.975;115.6
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;11;Meses Epoca Baja;16.215;106.285
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;MA;12;Meses Epoca Baja;16.215;106.285
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;1;Meses Epoca Alta;20.6;221.975
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;2;Meses Epoca Alta;20.6;221.975
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;3;Meses Epoca Alta;20.6;221.975
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;4;Meses Epoca Baja;18.3;145.7
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;5;Meses Epoca Baja;18.3;145.7
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;6;Meses Epoca Media;20.74;176.325
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;7;Meses Epoca Baja;18.3;145.7
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;8;Meses Epoca Baja;18.3;145.7
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;9;Meses Epoca Baja;18.3;145.7
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;10;Meses Epoca Media;20.74;176.325
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;11;Meses Epoca Alta;20.6;221.975
Amazonía;Río Caquetá;Río Caquetá;La Pedrera;UEP;12;Meses Epoca Baja;18.3;145.7
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;1;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;2;Meses Epoca Baja;3.54;42.6
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;3;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;4;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;5;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;6;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;7;Meses Epoca Baja;3.54;42.6
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;8;Meses Epoca Media;4;69.65
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;9;Meses Epoca Alta;6.5;113.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;10;Meses Epoca Alta;6.5;113.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;11;Meses Epoca Alta;6.5;113.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;IM;12;Meses Epoca Alta;6.5;113.2
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;1;Meses Epoca Media;10.165;613
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;2;Meses Epoca Media;10.165;613
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;3;Meses Epoca Media;10.165;613
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;4;Meses Epoca Alta;15.4;2042
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;5;Meses Epoca Baja;11.21;241.55
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;6;Meses Epoca Baja;11.21;241.55
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;7;Meses Epoca Baja;11.21;241.55
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;8;Meses Epoca Alta;15.4;2042
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;9;Meses Epoca Alta;15.4;2042
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;10;Meses Epoca Baja;11.21;241.55
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;11;Meses Epoca Media;10.165;613
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;MA;12;Meses Epoca Media;10.165;613
Amazonía;Río Putumayo;Puerto Asís;Muelle Hong Kong;UEP;1;Meses Epoca Media;3;36.3
