Cuenca o Litoral.x;Estrato menor;Estrato;No del sitio de desembarco;Sitio desembarco.x;Tipo de unidad.x;Mes;Epoca;Sitio_TU_Mes;Sitio_TU_Epoca;Cuenca o Litoral;Sitio desembarco.y;Tipo de unidad.y;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;3;Meses Epoca Baja;Curillo_PM_3;Curillo_PM_Meses Epoca Baja;Amazonía;Curillo;PM;2,24;20,15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;4;Meses Epoca Media;Curillo_PM_4;Curillo_PM_Meses Epoca Media;Amazonía;Curillo;PM;2,53;20,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;5;Meses Epoca Baja;Curillo_PM_5;Curillo_PM_Meses Epoca Baja;Amazonía;Curillo;PM;2,24;20,15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;6;Meses Epoca Baja;Curillo_PM_6;Curillo_PM_Meses Epoca Baja;Amazonía;Curillo;PM;2,24;20,15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;7;Meses Epoca Alta;Curillo_PM_7;Curillo_PM_Meses Epoca Alta;Amazonía;Curillo;PM;7,35;33
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;10;Meses Epoca Baja;Curillo_PM_10;Curillo_PM_Meses Epoca Baja;Amazonía;Curillo;PM;2,24;20,15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;11;Meses Epoca Alta;Curillo_PM_11;Curillo_PM_Meses Epoca Alta;Amazonía;Curillo;PM;7,35;33
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;PM;12;Meses Epoca Media;Curillo_PM_12;Curillo_PM_Meses Epoca Media;Amazonía;Curillo;PM;2,53;20,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;1;No patrón;Curillo_UEP_1;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;5;No patrón;Curillo_UEP_5;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;6;No patrón;Curillo_UEP_6;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;7;No patrón;Curillo_UEP_7;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;UEP;9;No patrón;Curillo_UEP_9;Curillo_UEP_No patrón;Amazonía;Curillo;UEP;1,65;8,77
